Dim,Method,Value,Time
5,"tournament_selection, pmx_crossover, mutation_swap",6,0.17
5,"tournament_selection, pmx_crossover, mutation_inverse",6,0.17
5,"tournament_selection, pmx_crossover, mutation_scramble",6,0.21
5,"tournament_selection, ordered_crossover, mutation_swap",6,0.15
5,"tournament_selection, ordered_crossover, mutation_inverse",6,0.16
5,"tournament_selection, ordered_crossover, mutation_scramble",6,0.16
5,"rank_selection, pmx_crossover, mutation_swap",6,0.19
5,"rank_selection, pmx_crossover, mutation_inverse",6,0.21
5,"rank_selection, pmx_crossover, mutation_scramble",6,0.21
5,"rank_selection, ordered_crossover, mutation_swap",6,0.19
5,"rank_selection, ordered_crossover, mutation_inverse",6,0.19
5,"rank_selection, ordered_crossover, mutation_scramble",6,0.2
5,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",6,0.33
5,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",6,0.32
5,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",6,0.31
5,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",6,0.3
5,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",6,0.3
5,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",6,0.31
8,"tournament_selection, pmx_crossover, mutation_swap",23,0.19
8,"tournament_selection, pmx_crossover, mutation_inverse",23,0.2
8,"tournament_selection, pmx_crossover, mutation_scramble",23,0.28
8,"tournament_selection, ordered_crossover, mutation_swap",23,0.22
8,"tournament_selection, ordered_crossover, mutation_inverse",23,0.21
8,"tournament_selection, ordered_crossover, mutation_scramble",23,0.19
8,"rank_selection, pmx_crossover, mutation_swap",23,0.24
8,"rank_selection, pmx_crossover, mutation_inverse",23,0.26
8,"rank_selection, pmx_crossover, mutation_scramble",23,0.24
8,"rank_selection, ordered_crossover, mutation_swap",23,0.27
8,"rank_selection, ordered_crossover, mutation_inverse",23,0.26
8,"rank_selection, ordered_crossover, mutation_scramble",23,0.24
8,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",23,0.36
8,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",23,0.37
8,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",23,0.36
8,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",23,0.36
8,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",23,0.36
8,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",23,0.37
8,"tournament_selection, pmx_crossover, mutation_swap",23,0.21
8,"tournament_selection, pmx_crossover, mutation_inverse",23,0.24
8,"tournament_selection, pmx_crossover, mutation_scramble",23,0.21
8,"tournament_selection, ordered_crossover, mutation_swap",23,0.18
8,"tournament_selection, ordered_crossover, mutation_inverse",23,0.21
8,"tournament_selection, ordered_crossover, mutation_scramble",23,0.19
8,"rank_selection, pmx_crossover, mutation_swap",23,0.24
8,"rank_selection, pmx_crossover, mutation_inverse",23,0.26
8,"rank_selection, pmx_crossover, mutation_scramble",23,0.26
8,"rank_selection, ordered_crossover, mutation_swap",23,0.22
8,"rank_selection, ordered_crossover, mutation_inverse",23,0.23
8,"rank_selection, ordered_crossover, mutation_scramble",23,0.23
8,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",23,0.34
8,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",23,0.35
8,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",23,0.36
8,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",23,0.34
8,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",23,0.35
8,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",23,0.35
10,"tournament_selection, pmx_crossover, mutation_swap",60,0.23
10,"tournament_selection, pmx_crossover, mutation_inverse",60,0.24
10,"tournament_selection, pmx_crossover, mutation_scramble",60,0.24
10,"tournament_selection, ordered_crossover, mutation_swap",60,0.26
10,"tournament_selection, ordered_crossover, mutation_inverse",60,0.21
10,"tournament_selection, ordered_crossover, mutation_scramble",60,0.23
10,"rank_selection, pmx_crossover, mutation_swap",60,0.27
10,"rank_selection, pmx_crossover, mutation_inverse",60,0.28
10,"rank_selection, pmx_crossover, mutation_scramble",60,0.28
10,"rank_selection, ordered_crossover, mutation_swap",60,0.26
10,"rank_selection, ordered_crossover, mutation_inverse",60,0.27
10,"rank_selection, ordered_crossover, mutation_scramble",60,0.28
10,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",72,0.38
10,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",60,0.39
10,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",60,0.39
10,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",60,0.38
10,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",60,0.39
10,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",60,0.39
11,"tournament_selection, pmx_crossover, mutation_swap",70,0.25
11,"tournament_selection, pmx_crossover, mutation_inverse",70,0.24
11,"tournament_selection, pmx_crossover, mutation_scramble",70,0.3
11,"tournament_selection, ordered_crossover, mutation_swap",70,0.23
11,"tournament_selection, ordered_crossover, mutation_inverse",70,0.23
11,"tournament_selection, ordered_crossover, mutation_scramble",70,0.24
11,"rank_selection, pmx_crossover, mutation_swap",70,0.27
11,"rank_selection, pmx_crossover, mutation_inverse",71,0.28
11,"rank_selection, pmx_crossover, mutation_scramble",70,0.29
11,"rank_selection, ordered_crossover, mutation_swap",71,0.27
11,"rank_selection, ordered_crossover, mutation_inverse",71,0.28
11,"rank_selection, ordered_crossover, mutation_scramble",70,0.29
11,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",70,0.39
11,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",70,0.4
11,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",70,0.4
11,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",70,0.38
11,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",70,0.39
11,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",70,0.4
15,"tournament_selection, pmx_crossover, mutation_swap",248,0.38
15,"tournament_selection, pmx_crossover, mutation_inverse",248,0.34
15,"tournament_selection, pmx_crossover, mutation_scramble",248,0.41
15,"tournament_selection, ordered_crossover, mutation_swap",248,0.32
15,"tournament_selection, ordered_crossover, mutation_inverse",248,0.35
