Dim,Method,Value,Time
10,"tabu_inverse, local_search, make_change_swap",77,0.64
10,"tabu_inverse, local_search, make_change_scramble",77,0.86
10,"tabu_inverse, local_search, make_change_inverse",77,0.61
10,"tabu_inverse, simulated_annealing, make_change_swap",77,0.65
10,"tabu_inverse, simulated_annealing, make_change_scramble",77,0.84
10,"tabu_inverse, simulated_annealing, make_change_inverse",77,0.71
10,"tabu_inverse_complete, local_search, make_change_swap",81,0.93
10,"tabu_inverse_complete, local_search, make_change_scramble",77,1.19
10,"tabu_inverse_complete, local_search, make_change_inverse",77,0.78
10,"tabu_inverse_complete, simulated_annealing, make_change_swap",77,1.01
10,"tabu_inverse_complete, simulated_annealing, make_change_scramble",77,1.38
10,"tabu_inverse_complete, simulated_annealing, make_change_inverse",77,1.14
10,"tabu_scramble, local_search, make_change_swap",77,1.06
10,"tabu_scramble, local_search, make_change_scramble",77,1.42
10,"tabu_scramble, local_search, make_change_inverse",77,1.2
10,"tabu_scramble, simulated_annealing, make_change_swap",77,1.38
10,"tabu_scramble, simulated_annealing, make_change_scramble",77,1.03
10,"tabu_scramble, simulated_annealing, make_change_inverse",77,1.0
10,"tabu_scramble_continuous, local_search, make_change_swap",77,1.31
10,"tabu_scramble_continuous, local_search, make_change_scramble",77,1.41
10,"tabu_scramble_continuous, local_search, make_change_inverse",77,1.21
10,"tabu_scramble_continuous, simulated_annealing, make_change_swap",77,1.46
10,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",77,1.63
10,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",77,1.48
10,"tabu_inverse, local_search, make_change_swap",65,0.58
10,"tabu_inverse, local_search, make_change_scramble",65,0.64
10,"tabu_inverse, local_search, make_change_inverse",65,0.55
10,"tabu_inverse, simulated_annealing, make_change_swap",65,0.46
10,"tabu_inverse, simulated_annealing, make_change_scramble",65,0.74
10,"tabu_inverse, simulated_annealing, make_change_inverse",65,0.44
10,"tabu_inverse_complete, local_search, make_change_swap",65,0.83
10,"tabu_inverse_complete, local_search, make_change_scramble",65,0.8
10,"tabu_inverse_complete, local_search, make_change_inverse",65,0.76
10,"tabu_inverse_complete, simulated_annealing, make_change_swap",65,0.98
10,"tabu_inverse_complete, simulated_annealing, make_change_scramble",65,1.14
10,"tabu_inverse_complete, simulated_annealing, make_change_inverse",65,0.85
10,"tabu_scramble, local_search, make_change_swap",65,0.97
10,"tabu_scramble, local_search, make_change_scramble",65,1.1
10,"tabu_scramble, local_search, make_change_inverse",65,0.94
10,"tabu_scramble, simulated_annealing, make_change_swap",65,1.1
10,"tabu_scramble, simulated_annealing, make_change_scramble",65,1.14
10,"tabu_scramble, simulated_annealing, make_change_inverse",65,1.03
10,"tabu_scramble_continuous, local_search, make_change_swap",65,1.2
10,"tabu_scramble_continuous, local_search, make_change_scramble",65,1.26
10,"tabu_scramble_continuous, local_search, make_change_inverse",65,1.26
10,"tabu_scramble_continuous, simulated_annealing, make_change_swap",65,1.4
10,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",65,1.69
10,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",65,1.45
10,"tabu_inverse, local_search, make_change_swap",65,0.64
10,"tabu_inverse, local_search, make_change_scramble",65,0.76
10,"tabu_inverse, local_search, make_change_inverse",65,0.45
10,"tabu_inverse, simulated_annealing, make_change_swap",65,0.54
10,"tabu_inverse, simulated_annealing, make_change_scramble",65,0.74
10,"tabu_inverse, simulated_annealing, make_change_inverse",65,0.61
10,"tabu_inverse_complete, local_search, make_change_swap",65,0.9
10,"tabu_inverse_complete, local_search, make_change_scramble",65,1.05
10,"tabu_inverse_complete, local_search, make_change_inverse",65,0.87
10,"tabu_inverse_complete, simulated_annealing, make_change_swap",65,1.03
