Dim,Method,Value,Time,Best_Iter
5,tabu_swap_neighbors,6,0.02,2
5,tabu_swap,6,0.02,2
5,tabu_inverse_complete,6,0.05,1
5,tabu_inverse,6,0.08,8
5,tabu_scramble,6,0.13,1
5,tabu_scramble_continuous,6,0.17,2
5,tabu_double_bridge_move,8,0.2,2
8,tabu_swap_neighbors,23,0.06,3
8,tabu_swap,23,0.12,11
8,tabu_inverse_complete,25,0.24,2
8,tabu_inverse,25,0.32,27
8,tabu_scramble,25,0.45,1
8,tabu_scramble_continuous,25,0.66,36
8,tabu_double_bridge_move,25,0.71,66
10,tabu_swap_neighbors,60,0.12,20
10,tabu_swap,60,0.23,13
10,tabu_inverse_complete,62,0.5,3
10,tabu_inverse,62,0.68,34
10,tabu_scramble,62,0.94,5
10,tabu_scramble_continuous,62,1.31,78
10,tabu_double_bridge_move,73,1.37,199
11,tabu_swap_neighbors,71,0.17,33
11,tabu_swap,70,0.31,10
11,tabu_inverse_complete,73,0.67,5
11,tabu_inverse,73,0.9,9
11,tabu_scramble,73,1.27,17
11,tabu_scramble_continuous,73,1.8,69
11,tabu_double_bridge_move,81,1.87,208
15,tabu_swap_neighbors,294,0.45,20
15,tabu_swap,251,1.2,5
15,tabu_inverse_complete,265,2.4,9
15,tabu_inverse,268,2.85,55
15,tabu_scramble,265,4.15,9
15,tabu_scramble_continuous,270,6.06,129
15,tabu_double_bridge_move,299,6.15,118
20,tabu_swap_neighbors,524,1.02,82
20,tabu_swap,552,3.72,6
20,tabu_inverse_complete,512,7.53,12
20,tabu_inverse,512,8.57,52
20,tabu_scramble,512,12.65,19
20,tabu_scramble_continuous,573,18.37,47
20,tabu_double_bridge_move,618,18.51,345
30,tabu_swap_neighbors,2010,3.81,137
30,tabu_swap,1995,22.77,27
30,tabu_inverse_complete,1955,45.15,30
30,tabu_inverse,1937,48.95,110
30,tabu_scramble,1959,71.75,19
30,tabu_scramble_continuous,2049,105.95,130
30,tabu_double_bridge_move,2247,106.29,379
50,tabu_swap_neighbors,8911,10.39,292
50,tabu_swap,8494,103.18,103
50,tabu_inverse_complete,8244,204.91,62
50,tabu_inverse,8383,215.3,437
50,tabu_scramble,8249,321.97,137
50,tabu_scramble_continuous,9171,479.35,225
50,tabu_double_bridge_move,9679,479.85,174
Dim,Method,Value,Time,Best_Iter
70,tabu_swap_neighbors,26675,36.52,499
70,tabu_swap,25999,509.78,63
70,tabu_inverse_complete,25215,1019.43,142
70,tabu_inverse,26074,1056.02,494
70,tabu_scramble,25058,1567.18,82
70,tabu_scramble_continuous,27369,2337.74,224
70,tabu_double_bridge_move,28560,2338.86,173
