Dim,Method,Value,Time
5,"shaking_swap, make_change_swap, local_search",6,0.09
5,"shaking_swap, make_change_swap, local_search_with_permutation",6,0.25
5,"shaking_swap, make_change_inverse, local_search",6,0.09
5,"shaking_swap, make_change_inverse, local_search_with_permutation",6,0.26
5,"shaking_swap, make_change_scramble, local_search",6,0.14
5,"shaking_swap, make_change_scramble, local_search_with_permutation",6,0.31
5,"shaking_inverse, make_change_swap, local_search",6,0.17
5,"shaking_inverse, make_change_swap, local_search_with_permutation",6,0.52
5,"shaking_inverse, make_change_inverse, local_search",6,0.19
5,"shaking_inverse, make_change_inverse, local_search_with_permutation",6,0.52
5,"shaking_inverse, make_change_scramble, local_search",6,0.28
5,"shaking_inverse, make_change_scramble, local_search_with_permutation",6,0.61
8,"shaking_swap, make_change_swap, local_search",23,0.29
8,"shaking_swap, make_change_swap, local_search_with_permutation",23,0.99
8,"shaking_swap, make_change_inverse, local_search",23,0.29
8,"shaking_swap, make_change_inverse, local_search_with_permutation",23,0.92
8,"shaking_swap, make_change_scramble, local_search",23,0.37
8,"shaking_swap, make_change_scramble, local_search_with_permutation",23,1.08
8,"shaking_inverse, make_change_swap, local_search",23,0.29
8,"shaking_inverse, make_change_swap, local_search_with_permutation",23,0.97
8,"shaking_inverse, make_change_inverse, local_search",23,0.28
8,"shaking_inverse, make_change_inverse, local_search_with_permutation",23,0.93
8,"shaking_inverse, make_change_scramble, local_search",23,0.43
8,"shaking_inverse, make_change_scramble, local_search_with_permutation",23,1.09
8,"shaking_swap, make_change_swap, local_search",23,0.27
8,"shaking_swap, make_change_swap, local_search_with_permutation",23,0.91
8,"shaking_swap, make_change_inverse, local_search",23,0.28
8,"shaking_swap, make_change_inverse, local_search_with_permutation",23,0.93
8,"shaking_swap, make_change_scramble, local_search",23,0.43
8,"shaking_swap, make_change_scramble, local_search_with_permutation",23,1.04
8,"shaking_inverse, make_change_swap, local_search",23,0.26
8,"shaking_inverse, make_change_swap, local_search_with_permutation",23,0.92
8,"shaking_inverse, make_change_inverse, local_search",23,0.28
8,"shaking_inverse, make_change_inverse, local_search_with_permutation",23,0.92
8,"shaking_inverse, make_change_scramble, local_search",23,0.41
8,"shaking_inverse, make_change_scramble, local_search_with_permutation",23,1.02
